,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
39,9/8/2017,173806.6813,3245812.253,2896096.788,1252625.635,1086448.37,1522927.477,803194.0959,1855473.649,861766.2053,2870513.64,0
40,9/9/2017,161231.732,3196600.174,2961695.453,1254716.061,1087628.756,1520199.116,800388.8019,1855121.728,861164.2282,2871893.745,0
41,9/10/2017,92663.22996,3205151.037,3019472.055,1257703.715,1089153.943,1519531.67,798696.6036,1854670.158,862967.1568,2872567.728,0
42,9/11/2017,100759.5163,3160039.999,3047265.087,1268306.655,1090916.635,1519303.702,797805.066,1851632.995,866094.8871,2872627.754,0
43,9/12/2017,188512.6193,3093500.501,2993663.789,1298629.087,1097777.946,1517361.756,798937.362,1849085.843,866418.3248,2873277.568,0
44,9/13/2017,152557.0647,3082941.947,3022278.48,1330859.057,1084992.784,1518752.152,798618.4795,1848222.366,865780.6507,2874311.815,0
45,9/14/2017,169294.0451,3042015.104,3052965.53,1313686.557,1100856.875,1518437.794,797337.1514,1847683.569,864620.8938,2874742.276,0
46,9/15/2017,175969.3708,2992636.15,3098176.197,1289280.66,1128431.953,1515693.36,795945.9865,1847827.501,864481.131,2875322.485,0
47,9/16/2017,109572.0375,3009969.145,3143808.782,1280285.62,1145832.57,1514255.576,794688.5697,1846031.817,864698.3121,2876759.866,0
48,9/17/2017,81395.49795,2917018.415,3262223.719,1283202.03,1151752.893,1511738.009,792443.6477,1845404.343,865302.8163,2877633.426,0
49,9/18/2017,143260.7223,2773501.961,3358129.843,1272786.88,1158842.23,1511882.024,787028.1152,1843035.259,865955.6849,2878154.577,0
50,9/19/2017,163527.2263,2733177.473,3389088.273,1272284.057,1165694.516,1509592.241,786469.3775,1832900.426,865029.9476,2878138.758,0
51,9/20/2017,229946.452,2648806.282,3403881.971,1285587.145,1171759.693,1497826.411,785330.3679,1832911.476,863915.1364,2879037.362,0
52,9/21/2017,170712.5156,2668181.311,3430070.243,1306159.591,1165684.154,1497544.864,784909.459,1830974.796,864401.1445,2880789.218,0
53,9/22/2017,192147.1252,2681295.082,3394571.824,1315193.866,1169457.909,1495254.133,784224.4166,1825377.084,867348.2502,2879682.606,0
54,9/23/2017,151369.5862,2638330.9,3482832.832,1318231.809,1170676.039,1495469.2,784268.0866,1816452.016,870932.2961,2880389.531,0
55,9/24/2017,128315.2701,2655646.997,3499402.701,1319094.71,1174569.125,1494765.423,774547.5897,1810969.309,872940.457,2882000.714,0
56,9/25/2017,306955.0529,2499813.583,3475611.293,1327805.881,1170946.461,1499548.872,773587.0792,1805962.386,874720.4686,2880826.218,0
57,9/26/2017,245688.7122,2686918.583,3381694.571,1279502.855,1195592.989,1496925.041,772717.5146,1804093.035,875052.5582,2881503.937,0
58,9/27/2017,256882.3834,2676548.228,3373687.352,1299526.481,1193503.117,1495624.494,773843.6273,1803610.841,868355.9417,2881557.33,0
59,9/28/2017,229236.1322,2659938.338,3424088.488,1295539.116,1192752.852,1495465.462,771792.9529,1801386.552,872130.582,2881721.821,0
