,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
31,2017/8/31,388072.2093,386997.2093,37.70566109,256501.8115,85873.70224,18512.64271,4978.554317,8161.851323,8493.556175,1175.734853,1357.851583,1299.05767,642.4469895,0
32,2017/9/1,412004.9559,410554.9559,32.13153048,277314.7141,100447.7859,19412.39163,3702.151486,2442.571341,1413.959364,1726.726146,961.6682074,345.3078601,2787.679826,0
33,2017/9/2,367625.4835,365950.4835,26.87671167,255025.8464,88328.15379,6209.877672,5016.77481,5424.24544,1654.687014,914.336854,1016.53639,2321.420997,38.60411788,0
34,2017/9/3,417038.0256,415400.5256,39.08737593,309701.362,78625.8435,8245.232656,2187.372559,4464.258488,2860.836048,1168.160693,7819.425659,261.0008736,67.03309682,0
35,2017/9/4,660829.9664,659217.4664,23.08667856,440949.0742,174148.888,21790.71961,4213.513359,5469.996994,7315.17534,1711.834578,2449.781426,617.8251962,550.6577119,0
36,2017/9/5,612709.6478,611309.6478,24.24213904,394832.0853,117520.9597,82445.51986,3088.292943,3204.825012,5263.703616,2398.099918,1185.130156,1074.597345,296.4338643,0
37,2017/9/6,734547.2085,732797.2085,44.41939453,542673.0495,128945.1391,21819.73132,4636.348083,16473.79425,3366.125752,838.4372554,783.1869967,12338.60366,922.792607,0
38,2017/9/7,437626.0966,435038.5966,23.3437482,347694.9712,57553.93059,16771.15917,3790.03112,2945.911942,2481.217256,941.1860674,1009.533192,710.6130739,1140.043011,0
39,2017/9/8,403733.8944,401383.8944,21.05112186,265643.5057,93546.35107,23441.87837,9044.011974,4119.249631,3014.073727,1019.197258,1329.103246,170.7368047,55.78664188,0
40,2017/9/9,856972.7674,854997.7674,11.31778085,723686.3897,102970.4055,11708.11078,5006.362933,4396.763908,3120.656918,1343.833515,2595.047893,114.306716,55.88947971,0
41,2017/9/10,380133.6935,378196.1935,11.08653858,309967.3709,46990.80361,7221.06325,10539.09132,1402.406879,859.4731069,704.4522893,250.8238285,91.29055531,169.4178245,0
42,2017/9/11,793621.7852,791446.7852,5.566736041,709722.8595,68205.19971,7323.461536,1636.574511,922.674937,2040.899646,573.285612,507.5039004,228.2664885,286.0594122,0
43,2017/9/12,518185.2561,515772.7561,17.16781164,352229.373,120958.6701,32849.09163,1949.327119,2832.747312,2463.083537,233.8558027,887.8216138,976.3346196,392.4513559,0
44,2017/9/13,301242.8119,299092.8119,28.72303033,164027.1033,107307.9815,8355.082025,1890.034001,13866.23372,1863.595724,284.7765586,1371.88793,81.76622611,44.35087155,0
45,2017/9/14,531672.8645,529347.8645,19.57228353,394811.1254,91871.37545,22289.60849,12689.92303,1992.693832,1363.272136,998.3247063,1695.574435,1404.383351,231.5836995,0
46,2017/9/15,759646.2601,757521.2601,9.750406033,650702.8593,64920.2167,27529.59744,6551.177933,2198.494416,3185.738863,1472.792284,636.0071685,234.8493635,89.52661299,0
47,2017/9/16,541133.7851,538996.2851,9.405020545,473793.2905,54245.07155,5516.516843,893.6894783,369.6693739,831.0679234,2269.59623,686.2837026,163.9594282,227.1400882,0
48,2017/9/17,332892.0017,330679.5017,18.06789615,271544.9019,44166.96385,7003.71027,805.921046,899.1400745,3710.806219,615.1176889,1781.770815,150.1638794,1.006,0
49,2017/9/18,976054.769,971592.269,15.60183574,860188.3452,66038.34802,11284.07796,24064.15313,611.5437881,1960.780466,1120.475776,5575.182184,448.342369,301.0201052,0
